Word,Score
전형요,0.442141
마감일,0.751809
논술고,0.389249
일반고,0.388514
학교생,0.341231
재학·,0.279508
미충원,0.424264
고등학,0.604218
검정고,0.948683
학교장,0.286691
물리학,0.925820
해당하,0.559017
10과,0.129460
경영정,0.389249
5.0,0.321634
판매과,0.790569
차상위,0.935414
평생교,0.428174
중학교,0.632456
기준학,0.214423
경력이,0.275241
하나에,0.688247
30%,0.399653
디자인,1.000000
무역정,1.000000
융합보,0.654654
유통정,0.471405
연극학,0.618347
국어국,0.395285
「초·,0.475191
▮[일,0.467707
미등록,0.346410
문화콘,0.433013
기초생,0.262613
(외국,0.342224
2과목,0.157832
(60,0.212238
비교내,0.466252
관광경,0.415227
세부사,0.912871
콘텐츠,1.000000
국/수,0.306186
▸국내,0.674200
제2조,0.275839
전기과,0.212398
"(1,",0.379663
지원자,0.655826
20명,0.133393
농어촌,0.822478
체육교,0.930949
"경우,",0.275241
1단계,0.258919
종합실,0.408248
특수교,0.275839
모집인,0.579284
수급자,0.252262
자로서,0.329690
초등학,0.745356
한국음,0.597614
국어/,0.330719
서류종,0.670820
"다만,",0.797724
인정하,0.323498
종합고,0.372678
종합적,0.500000
2단계,0.231043
9.9,0.510754
학생부,0.667237
(모집,0.284747
12년,0.129460
수시모,0.369274
합격자,0.745356
정시모,0.374166
···,1.000000
대학수,0.450694
“보통,0.912871
평가방,0.428174
성적을,0.480384
이수하,0.217357
10~,0.118180
약학과,0.816497
UNI,1.000000
반영총,0.297670
기본계,0.363571
10%,0.149487
재외국,0.433013
(50,0.251124
입학일,0.566947
졸업자,0.453743
수학교,0.213201
의하여,0.684653
우리대,1.000000
원서접,0.912871
재직자,0.279508
전형방,0.367884
정보통,0.223607
금융과,0.597614
<농어,0.738549
동일계,0.361158
(42,0.212238
정보처,0.282843
모집요,0.231714
100,0.298974
[수시,0.604218
불교추,0.458831
특별전,0.294884
전자전,0.193892
수능최,0.404520
법령에,0.765641
경영·,0.301511
학력인,0.248282
전형명,0.212398
이상의,0.443678
"(1,0",0.524323
기준학과,0.358245
반영방법,0.518309
동국대학,0.683163
10.0,0.240822
일반고등,0.483755
[수시/,0.480750
해당하는,0.678604
마감일까,0.638961
기회균형,0.469434
(0점),0.462761
서류종합,0.766309
이수(예,0.361506
재무·회,0.427494
학생부종,0.468360
사회복지,0.665029
미술학부,0.519249
유통정보,0.605707
“보통과,0.941036
무역정보,1.000000
[정시모,0.480750
"전자과,",0.355986
증빙서류,0.808968
경영정보,0.533112
초등학교,0.822071
전형방법,0.513421
농어촌지,0.527834
36~3,0.346681
선발배수,0.774796
전형요소,0.580373
졸업자는,0.418942
신입학모,0.934013
불교추천,0.594888
학력인정,0.395030
요구하는,1.000000
금속재료,0.709492
우리대학,1.000000
인문계열,0.518674
[수시모,0.575370
모집요강,0.377255
180점,0.240822
운영하는,0.941036
UNIV,1.000000
(50점,0.355808
불교미술,0.508622
(420,0.355808
영화영상,0.605707
Drea,0.719927
"금융과,",0.709492
4등급],0.402520
재직기간,0.572357
10~1,0.240822
국/수/,0.454280
문화콘텐,0.572357
2024,0.558680
농어촌학,0.706698
34~3,0.326239
관광경영,0.556575
반영영역,0.518309
기본점수,0.486213
비교내신,0.601285
검정고시,0.965489
세부사항,0.941036
한국음악,0.709492
(모집단,0.432819
학교장추,0.409150
(100,0.355808
정보처리,0.430887
재외국민,0.572357
실기/실,0.571277
글로벌무,1.000000
기본계획,0.509401
100%,0.394621
실기고사,0.439244
특수교육,0.423744
····,1.000000
▮[일괄,0.602536
제출서류,0.533884
평가(반,0.464159
모집인원,0.694909
체육교육,0.953420
[한국사,0.456671
AI소프,0.887904
조소전공,0.729920
경영·사,0.449644
수능최저,0.546966
유의사항,0.666667
(180,0.432819
학교생활,0.488313
디자인과,1.000000
방송·통,0.592816
반영비율,0.587261
원서접수,0.941036
반영총점,0.445817
정보컴퓨,0.412129
직업교육,0.863054
지원자격,0.742051
경영학과,0.423131
연극학부,0.725808
국내·외,0.555995
「초·중,0.608946
기초생활,0.410088
자연계열,0.601285
종합적으,0.579338
전자전기,0.334996
시스템반,0.648499
최초합격,0.817058
특별전형,0.443031
<농어촌,0.793701
논술고사,0.533112
입학일부,0.685007
평가방법,0.568086
동일계열,0.507144
특성화고,0.871995
물리학과,0.949914
제외)로,0.477241
불교학부,0.540492
국어/수,0.478233
콘텐츠개,1.000000
융합보안,0.753947
정시모집,0.519249
수시모집,0.514714
모집단위,0.699511
대학수학,0.587834
8~9쪽,0.584804
국어국문,0.538609
교육과정,0.656799
(600,0.355808
재학·거,0.427494
부·모·,0.793701
2023,0.440387
화학공업,0.793701
"유통과,",0.569992
"전기과,",0.355986
학생부교,0.602928
스포츠문,0.965489
"보육과,",0.772804
경찰행정,0.494898
회계정보,0.873580
정보통신,0.368403
DONG,0.679279
100점,0.269405
고등학교,0.714709
졸업(예,0.777822
인정되는,0.558724
종합실기,0.550321
평생교육,0.568086
10과목,0.255911
한국음악과,0.773055
방송·통신,0.675600
국어국문·,0.594604
"(1,00",0.616168
2024.,0.423043
"디자인과,",1.000000
일반고등학,0.580055
36~37,0.451801
기본점수),0.550672
졸업(예정,0.828248
경찰행정학,0.590047
UNIVE,1.000000
특성화고등,0.817051
모집단위별,0.447962
교육과정을,0.682257
(600점,0.460693
2024학,0.598273
(100점,0.460693
문화콘텐츠,0.658037
스포츠문화,0.974004
제외)로서,0.574187
융합보안학,0.809107
체육교육과,0.964857
[정시모집,0.577350
▮[일괄],0.683891
종합적으로,0.664047
전자전기공,0.440331
평가(반영,0.562341
기회균형통,0.463058
동국대학교,0.751438
AI소프트,0.914691
경영·사무,0.549100
실기/실적,0.657106
경영정보과,0.570675
학생부종합,0.566154
화학공업과,0.840896
이수(예정,0.466216
(420점,0.460693
DONGG,0.748232
재무·회계,0.528686
국/수/영,0.553341
영화영상학,0.686589
평생교육시,0.654350
학생부교과,0.684226
관광경영과,0.644381
[수시/정,0.577350
2023학,0.397281
최초합격자,0.859389
우리대학이,0.767039
34~35,0.431670
무역정보과,1.000000
사회복지상,0.585660
불교추천인,0.677371
사회복지과,0.559564
유통정보과,0.686589
「초·중등,0.689341
직업교육훈,0.895424
글로벌무역,1.000000
인문계열/,0.513941
기초생활수,0.447855
[수시모집,0.660633
연극학부-,0.673604
서류종합평,0.646784
부·모·학,0.840896
입학일부터,0.752959
Dream,0.781567
농어촌지역,0.619260
“보통과”,0.955443
국어/수학,0.575082
정보컴퓨터,0.514369
특성화고교,0.624576
수능최저학,0.626995
(180점,0.533617
2023.,0.488487
회계정보과,0.903602
농어촌학생,0.770771
모집단위로,0.447962
신입학모집,0.950090
<농어촌지,0.840896
정보처리과,0.531830
학교생활기,0.566154
금속재료과,0.773055
재학·거주,0.528686
마감일까지,0.714670
(모집단위,0.533617
·····,1.000000
정보통신공,0.472871
시스템반도,0.722657
(50점),0.460693
전형요소별,0.460866
콘텐츠개발,1.000000
학교장추천,0.511578
대학수학능,0.671337
(모집단위별,0.605040
특성화고등학,0.628190
"경영정보과,",0.638426
국/수/영/,0.600562
부·모·학생,0.870551
기회균형통합,0.540142
기초생활수급,0.525908
[수시/정시,0.644394
평가(반영),0.630957
시스템반도체,0.771162
체육교육과/,0.802742
2023.0,0.502467
경찰행정학부,0.655706
국어국문·문,0.600562
수능최저학력,0.688353
대학수학능력,0.727031
2023.1,0.477835
정보통신공학,0.549280
재무·회계과,0.600562
특성화고교졸,0.676131
"사회복지과,",0.628463
문화콘텐츠과,0.715485
DONGGU,0.792919
사회복지상담,0.651803
"정보처리과,",0.603418
일반고등학교,0.646808
서류종합평가,0.705680
정보컴퓨터과,0.587516
[정시모집],0.644394
졸업(예정),0.860059
불교추천인재,0.732253
학생부종합(,0.509241
2024학년,0.663009
영화영상학과,0.740214
2023학년,0.477835
글로벌무역학,1.000000
34~35쪽,0.510648
"무역정보과,",1.000000
Dream(,0.653737
국어/수학/,0.622865
[수시모집],0.717742
"유통정보과,",0.740214
방송·통신과,0.730721
"(1,000",0.678827
(180점),0.605040
<농어촌지역,0.870551
학교생활기록,0.634377
경영·사무과,0.619044
특성화고등을,0.809604
평생교육시설,0.712276
스포츠문화학,0.979148
UNIVER,1.000000
융합보안학과,0.844121
36~37쪽,0.529612
학생부교과(,0.509241
「초·중등교,0.742587
(600점),0.537935
학교장추천인,0.584964
"관광경영과,",0.703581
(100점),0.537935
콘텐츠개발과,1.000000
"금속재료과,",0.813895
2024.0,0.502467
이수(예정),0.543087
직업교육훈련,0.915425
······,1.000000
전자전기공학,0.518828
"화학공업과,",0.792447
AI소프트웨,0.931150
(420점),0.537935
졸업(예정)자,0.846393
이수(예정)하,0.601254
학교장추천인재,0.639648
2023학년도,0.540421
수능최저학력기,0.732559
Dream(소,0.701729
"경영·사무과,",0.670555
DONGGUK,0.824184
전자전기공학부,0.578788
「초·중등교육,0.780350
글로벌무역학과,1.000000
기초생활수급자,0.585362
국어국문·문예,0.653830
학교생활기록부,0.684368
"(1,000점",0.724102
국/수/영/탐,0.653830
사회복지상담학,0.699998
2024.02,0.540421
특성화고등학교,0.678801
"방송·통신과,",0.769945
국어/수학/영,0.674003
특성화고교졸업,0.721704
졸업(예정)일,0.667227
<농어촌지역>,0.844847
AI소프트웨어,0.942287
·······,1.000000
"문화콘텐츠과,",0.756543
[수시/정시],0.693361
UNIVERS,1.000000
"정보컴퓨터과,",0.606962
2024학년도,0.710013
시스템반도체학,0.805295
대학수학능력시,0.766703
"재무·회계과,",0.653830
"콘텐츠개발과,",0.977991
스포츠문화학과,0.982593
특성화고등을졸,0.820153
국어/수학/영어,0.713081
특성화고등을졸업,0.843715
졸업(예정)자로,0.688757
대학수학능력시험,0.796359
시스템반도체학부,0.830596
2024.02.,0.590083
Dream(소프,0.738151
UNIVERSI,1.000000
수능최저학력기준,0.765863
「초·중등교육법,0.808494
국어국문·문예창,0.694748
기초생활수급자및,0.631902
특성화고교졸업자,0.756125
이수(예정)하고,0.646578
········,1.000000
AI소프트웨어융,0.918140
"학교생활기록부,",0.647940
사회복지상담학과,0.736590
졸업(예정)일까,0.706932
졸업(예정)자로서,0.721618
Dream(소프트,0.766703
"이수(예정)하고,",0.682800
기초생활수급자및차,0.669220
국어/수학/영어/,0.743869
·········,1.000000
「초·중등교육법시,0.830266
졸업(예정)일까지,0.738253
AI소프트웨어융합,0.927994
UNIVERSIT,1.000000
특성화고등을졸업한,0.853883
국어국문·문예창작,0.727108
특성화고등을졸업한재,0.869002
UNIVERSITY,1.000000
기초생활수급자및차상,0.699761
「초·중등교육법시행,0.847604
국어국문·문예창작학,0.753315
··········,1.000000
Dream(소프트웨,0.789671
AI소프트웨어융합학,0.935732
